"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1182"," V710","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Recombinant","Circular DNA","18 years and older","Containing S. aureus 0657nI iron surface determinate B (IsdB).","Merck Sharp & Dohme Corp","Austria, Belgium, Brazil, Canada, Chile, Colombia, Denmark, Finland, France, Germany, Guatemala, Ireland, Italy, Japan, Korea, Republic of, Malaysia, Mexico, New Zealand, Norway, Peru, Russian Federation, Singapore, Spain, Sweden, Taiwan, United Kingdom, United States","2011","Clinical - Failed","Gram-positive bacteria.","18.50%","NA","Single dose of 0.5 mL.","IgG-antibody responses against IsdB.","Intramuscular","Prevents serious Staphylococcus aureus infections following elective cardiothoracic surgery.","NA","NA","NA","For Bacteremia and mediastinitis.","NA","NA","Single dose","NA","25483690","NCT00518687","https://www.fda.gov/media/109113/download","Merck 0657nI Staphylococcus aureus vaccine","NA"
"1183","Pentastaph","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Conjugate","Circular DNA","NA","Pentavalent S. aureus vaccine.","NABI/GSK","NA","2009","Clinical - Failed","Gram-positive bacteria.","NA","NA","NA","Induces antibodies that target S. aureus capsular polysaccharides types 5, 8 and the cell wall antigen type 336.","NA","Prevention and treatment of S. aureus infections.","NA","NA","NA","NA","NA","NA","NA","NA","21501445","NA","https://www.who.int/immunization/research/forums_and_initiatives/4_OSchneewind_Staphylococcal_Vaccines_gvirf16.pdf?ua=1","NA","https://www.fiercebiotech.com/biotech/nabi-biopharmaceuticals-and-niaid-to-advance-pentastaph-vaccine-research"
"1184","SP093","Bacteria","Salmonellosis","Salmonella enteritis","Polysaccharide","Circular DNA","2 years and above","Typhoid Vi Polysaccharide vaccine.","Sanofi Pasteur, a Sanofi Company","Japan","2012","Clinical - Phase 3","Gram-negative rod-shaped enterobacterium.","NA","Solution for injection","Single dose of 0.5 mL.","Anti-Vi antibodies.","Intramuscular","NA","NA","NA","NA","For typhoid fever and bacterial infections.","Pain, erythema, swelling, fever, headache, malaise and myalgia.","NA","Single dose","NA","NA","NCT01608815","https://www.ncbi.nlm.nih.gov/nuccore/CP032851","Typhim Vi","https://www.clinicaltrialsregister.eu/ctr-search/trial/2015-005195-22/results"
"1185","CTH522 (CHLM-02)","Bacteria","Trachoma","Chlamydia trachomatis","Recombinant","DNA","18 to 45 years","Chlamydia vaccine.","Statens Serum Institut","United Kingdom","2022","Clinical - Phase 1","Gram-negative bacterium.","NA","NA","Three doses.","Anti-CTH522 IgG seroconversion.","Intramuscular","NA","NA","NA","CAF09b, CAF01","For chlamydia.","Mild local injection-site reactions.","NA","Combination doses","NA","31416692","NCT03926728","NA","NA","NA"
"1186","CVD 1208S","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","18 to 45 years","Shigella flexneri 2a live vaccine.","University of Maryland, Baltimore","United States","2010","Clinical - Terminated","Gram-negative bacteria.","NA"," Liquid","Three doses, one month apart.","Anti-lipopolysaccharide responses, interferon gamma production in response to Shigella antigens.","Oral","Prevents infection with the Shigella.","NA","NA","NA","NA","NA","NA","Combination doses","NA","17938573","NCT00866476","NA","NA","NA"
"1187","Sonnei vaccine 1790GAHB","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Conjugate","DNA","22 to 50 years","Shigella sonnei vaccine.","GlaxoSmithKline","France","2017","Clinical - Phase 1","Gram-negative bacteria.","NA","Suspension for injection","Three doses, gap of 4 weeks and one booster dose.","Anti-S. sonnei lipopolysaccharide (LPS) antibody.","Intramuscular","Prevents the disease caused by Shigella sonnei.","NA","NA","Aluminium hydroxide","NA","NA","NA","Combination doses","NA","NA","NCT03089879","https://adisinsight.springer.com/drugs/800039699","1790GAHB vaccine, GSK-3536852A, GSK-3902986A, GVGH Shigella sonnei 1790GAHB vaccine.","NA"
"1188","Sf2aWC","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Inactivated","DNA","18 to 45 years","Formalin-inactivated whole cell Shigella flexneri 2a killed vaccine.","PATH","United States","2019","Clinical - Withdrawn","Gram-negative bacteria.","NA","Sterile liquid suspension","Three doses.","IgA and IgG responses to LPS, Th1 and Th17 cytokines.","Oral","NA","NA","NA","dmLT","NA","Loose stools, diarrhoea, abdominal pain, bloating, defecation urgency, nausea, vomiting, headache, malaise, chills, myalgia, reactive arthritis and constipation.","NA","Combination doses","NA","26865592","NCT03038243","NA","NA","NA"
"1189","SF2a-TT15","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Conjugate","DNA","18 to 45 years","Monovalent Synthetic Carbohydrate-based.","University of Maryland, Baltimore","United States","2022","Clinical - Suspended","Gram-negative bacteria.","NA","Suspension for injection","Two doses, gap of 4 weeks.","Serum SF2a-specific IgG antibodies.","Intramuscular","Prevention of Shigella infection.","NA","NA","NA","NA","NA","NA","Combination doses","NA","33186516","NCT04078022","NA","NA","NA"
"1190","Shigella Conjugate","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Conjugate","DNA","1 to 4 years","Shigella sonnei-rEPA and flexneri2a rEPA vaccines.","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Israel","2009","Clinical - Phase 3","Gram-negative bacteria.","S. sonnei-rEPA induced an overall efficacy of 74%.","NA","Two doses, gap of 6 weeks.","Serum IgG anti-LPS immunity.","NA","NA","NA","NA","NA","NA","NA","NA","Combination doses","NA","11179298","NCT00368316","NA","S. sonnei O-SP-rEPA conjugate, S. flexneri 2a O-SP-rEPA conjugate.","NA"
"1191","Invaplex 50","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Subunit","DNA","18 to 45 years","Shigella Flexneri 2a vaccine and can function as an adjuvant.","U.S. Army Medical Research and Development Command","United States","2010","Clinical - Phase 1, Phase 2","Gram-negative bacteria.","NA","Sterile, clear liquid","Three doses.","Mucosal immune response, systemic IgG response and generate antigen-specific memory B cells.","Intranasal","Vaccine against diarrhoea, dysentery and fever.","NA","NA","NA","NA","NA","NA","Combination doses","NA","34258576","NCT00485134","NA","NA","NA"
"1192","O-SPC/rBRU","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Conjugate","DNA","18 to 49 years","Shigella sonnei O-SP-core vaccine.","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Israel","2013","Clinical - Phase 1","Gram-negative bacteria.","71.1% efficacy in 3-4 year-old. No efficacy for recipients of S. flexneri 2a.","Suspension for injection","Single dose.","IgG antibody specific immunity.","Intramuscular","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT01369927","NA","NA","NA"
"1193","Flexyn2a","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Bioconjugate","DNA","18 to 50 years","Shigella Flexneri 2a vaccine.","LimmaTech Biologics AG","United States","2017","Clinical - Phase 2","Gram-negative bacteria.","NA","Suspension for injection","Two doses (0.5 mL), gap of 4 weeks.","Humoral immune response.","Intramuscular","NA","NA","NA","With or without adjuvant","NA","NA","NA","Combination doses","NA","NA","NCT02646371","NA","NA","NA"
"1194","WRSs2","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","18 to 49 years","Shigella Sonnei vaccine.","National Institute of Allergy and Infectious Diseases (NIAID)","United States","2023","Clinical - Phase 2","Gram-negative bacteria.","NA","NA","One or two doses.","Serum anti-LPS, anti-Invaplex IgG and IgA.","Oral","NA","NA","NA","NA","NA","Diarrhoea, fever, headache, cramps, vomiting, myalgia and arthralgia.","NA","Both","NA","30037478","NCT04242264","NA","NA","NA"
"1195","WRSs2 and WRSs3","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","18 to 45 years","Shigella Sonnei vaccines.","National Institute of Allergy and Infectious Diseases (NIAID)","United States","2015","Clinical - Phase 1","Gram-negative bacteria.","NA","NA","Single dose.","Serum anti-LPS, anti-Invaplex IgG and IgA.","Oral","NA","NA","NA","NA","NA","Diarrhoea, fever, headache, cramps, vomiting, myalgia and arthralgia.","NA","Single dose","NA","30037478","NCT01336699","NA","NA","NA"
"1196","CVD 1208S-122","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","18 to 49 years","Combined Shigella-ETEC vaccine.","University of Maryland, Baltimore","United States","2023","Clinical - Phase 1","Gram-negative bacteria.","NA","NA","Single dose","Anti-Shigella LPS IgG, anti-CFA/I antibodies production.","Oral","Prevents disease outcomes-weight loss and diarrhoea.","NA","NA","NA","For enterotoxigenic Escherichia Coli infection.","NA","NA","Single dose","NA","32257392","NCT04634513","NA","NA","NA"
"1197","GVXN SD133","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Bioconjugate","DNA","18 to 50 years","Shigella dysenteriae vaccine.","GlycoVaxyn AG","Switzerland","2010","Clinical - Phase 1","Gram-negative bacteria.","NA","Suspension for injection","Two doses, gap of 8 weeks.","O1 specific humoral response.","Intramuscular","NA","NA","NA","With or without Aluminium hydroxide","NA","NA","NA","Combination doses","NA","26162850","NCT01069471","NA","NA","NA"
"1198","SC599","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","18 to 50 years","Shigella dysenteriae type-1 vaccine.","Institut Pasteur","France, United Kingdom","2007","Clinical - Phase 2","Gram-negative bacteria.","NA","NA","Two doses.","IgA and IgG LPS-specific ASCs and antibody response.","Oral","NA","NA","NA","NA","NA","Mainly digestive effects.","NA","Combination doses","NA","19135496","NCT00210288","NA","NA","NA"
"1199","SC602","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","NA","Shigella flexneri 2a strain SC602.","Institut Pasteur","NA","NA","Clinical","Gram-negative bacteria.","NA","Lyophilized","Single dose.","IgA ASC response and a threefold or greater rise in serum IgA antibody, urinary sIgA responses in addition to IgG ASC and IgG serum responses.","Ingestion","Protection against fever and severe shigellosis.","NA","Conducted under Food and Drug Administration investigational new drug application.","NA","NA","Abdominal cramps, nausea, emesis, tenesmus, gas, headache, myalgia, arthralgia, loss of appetite and fatigue.","NA","Single dose","NA","10377124","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=259&keywords=","NA","NA"
"1200","CVD1207","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Recombinant","DNA","NA","Constructed from wild-type S.flexneri 2a strain.","NA","NA","NA","Clinical - Phase 1","Gram-negative bacteria.","70% protective efficacy.","NA","Single dose.","Invades epithelial cells.","Oral","NA","NA","NA","NA","NA","Diarrhoea and vomiting","NA","Single dose","NA","10678904","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=260&keywords=","NA","NA"
"1201","Shigella4V","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Bioconjugate","DNA","8 months to 50 years","Shigella-tetravalent vaccine.","LimmaTech Biologics AG","Kenya","2022","Clinical - Phase 1, Phase 2","Gram-negative bacteria.","NA","NA","Two doses (for adults). Three doses (for children).","NA","NA","NA","NA","NA","With or without Aluminium","NA","NA","NA","Combination doses","NA","NA","NCT04056117","NA","NA","NA"
"1202","WRSS1","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Live attenuated","DNA","20 to 40 years","Shigella Sonnei vaccine.","U.S. Army Medical Research and Development Command","Thailand","2011","Clinical - Phase 1, Phase 2","Gram-negative bacteria.","NA","Lyophilized","Single dose.","S. sonnei LPS-specific IgA antibody.","Oral","NA","NA","NA","NA","For Shigella and diarrhoea.","Loose stool, diarrhoea, dysentery, nausea, vomiting, abdominal pain and cramps, bloating, constipation, fever, chills, headache, light-headedness, generalized myalgia, malaise, decreased appetite, excess flatulence, reactive arthritis and arthralgia.","NA","Single dose","NA","30794051","NCT01080716","NA","NA","NA"
"1203","InvaplexAR","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Recombinant","DNA","18 to 45 years","Artificial Invaplex vaccine consists of recombinant IpaB, IpaC and wild-type LPS using molar ratios.","U.S. Army Medical Research and Development Command","United States","2016","Clinical - Phase 1","Gram-negative bacteria.","NA","NA","Three doses.","Systemic and mucosal vaccine antigen-specific immune response.","Intranasal","NA","NA","NA","NA","NA","NA","NA","Combination doses","NA","NA","NCT02445963","https://www.who.int/immunization/research/meetings_workshops/7.Shigella.Richard_Walker.pdf","NA","NA"
"1204","S.Flexneriza-S.Sonnei Bivalent","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Conjugate","DNA","3 months to 5 years","S.Flexneriza-S.Sonnei bivalent conjugate vaccine.","Beijing Zhifei Lvzhu Biopharmaceutical Co., Ltd","China","2020","Clinical - Phase 2","Gram-negative bacteria.","NA","Suspension for injection","Single dose.","NA","Intramuscular","NA","NA","NA","NA","For dysentery.","NA","NA","Single dose","NA","NA","NCT04865497","NA","NA","NA"
"1205","EcSf2a-2","Bacteria","Bacillary Dysentery (Shigellosis)","Shigella genus","Recombinant","DNA","NA","This vaccine is an aro-D mutant derivative of EcSf2a-1.","NA","NA","NA","Clinical","Gram-negative bacteria.","Overall, the vaccine efficacy was 36%.","NA","Three doses.","IgA or IgG antibody titers recognizing purified LPS.","NA","NA","NA","NA","NA","NA","Diarrhoea, dysentery and fever.","NA","Combination (3 doses)","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=267&keywords=","NA","NA"
"1206","Spirolept","Bacteria","Leptospirosis","Leptospira genus","Inactivated","DNA","18 to 65 years","Killed whole-cell Leptospiral vaccine.","Imaxio","France","2018","Clinical - Phase 4","Gram negative bacteria.","NA","Suspension for injection","Four to eight doses.\nUsual dose - Two injections 15 days apart, followed by a booster 4 to 6 months later.","Anti-leptospira IgG antibody.","Subcutaneous","Prevention of leptospirosis caused by the serogroup Icterohaemorrhagiae and Copenhageni.","NA","NA","NA","NA","Pain or swelling, fever, headache, malaise, dizziness, nausea, muscle pain, tingling in extremity, rash, hives, fatigue.","NA","Combination doses","Yes (through the urine of infected animals)","NA","NCT03497572","https://www.vidal.fr/medicaments/gammes/spirolept-13536.html","NA","NA"
"1207","CJCV1","Bacteria","Campylobacteriosis","Campylobacter genus","Conjugate","Circular DNA","18 to 50 years","Capsule-conjugate Campylobacter vaccine.","U.S. Army Medical Research and Development Command","United States","2016","Clinical - Phase 1","Gram-negative bacteria.","NA","Lyophilized","Three doses.","Serum immunological response (both IgA and IgG) against the CPS moiety.","Intramuscular","NA","NA","NA","With or without Alhydrogel","NA","NA","NA","Combination doses","NA","30252591","NCT02067676","NA","NA","NA"
